9 10 11 15 + 14
4 8 12 15 + 0
4 8 12 15 + 1
4 8 12 15 + 2
4 8 12 15 + 3
4 8 12 15 + 5
4 8 12 15 + 6
4 8 12 15 + 7
4 8 12 15 + 9
4 8 12 15 + 10
4 8 12 15 + 11
4 8 12 15 + 13
4 8 12 15 + 14
7 11 12 15 + 0
7 11 12 15 + 1
7 11 12 15 + 2
7 11 12 15 + 3
7 11 12 15 + 4
7 11 12 15 + 5
7 11 12 15 + 6
7 11 12 15 + 8
7 11 12 15 + 9
7 11 12 15 + 10
7 11 12 15 + 13
7 11 12 15 + 14
8 11 12 15 + 0
8 11 12 15 + 1
8 11 12 15 + 2
8 11 12 15 + 3
8 11 12 15 + 4
8 11 12 15 + 5
8 11 12 15 + 6
8 11 12 15 + 7
8 11 12 15 + 9
8 11 12 15 + 10
8 11 12 15 + 13
8 11 12 15 + 14
5 9 13 15 + 0
5 9 13 15 + 1
5 9 13 15 + 2
5 9 13 15 + 3
5 9 13 15 + 4
5 9 13 15 + 6
5 9 13 15 + 7
5 9 13 15 + 8
5 9 13 15 + 10
5 9 13 15 + 11
5 9 13 15 + 12
5 9 13 15 + 14
7 11 13 15 + 0
7 11 13 15 + 1
7 11 13 15 + 2
7 11 13 15 + 3
7 11 13 15 + 4
7 11 13 15 + 5
7 11 13 15 + 6
7 11 13 15 + 8
7 11 13 15 + 9
7 11 13 15 + 10
7 11 13 15 + 12
7 11 13 15 + 14
9 11 13 15 + 0
9 11 13 15 + 1
9 11 13 15 + 2
9 11 13 15 + 3
9 11 13 15 + 4
9 11 13 15 + 5
9 11 13 15 + 6
9 11 13 15 + 7
9 11 13 15 + 8
9 11 13 15 + 10
9 11 13 15 + 12
9 11 13 15 + 14
8 12 13 15 + 0
8 12 13 15 + 1
